Rank by Marketcap,Name,  Marketcap($)  ,  Price ($)  ,  Earnings($)  ,Dividend yield(%),  Revenue($)  ,Employees
123,Aurobindo Pharma,"8,32,88,11,947",14.21,"49,85,89,000",0.3804,"3,33,89,06,423",15431
124,Tube Investments of India,"8,29,32,83,524",42.88,"20,57,66,000",0.0946,"1,88,51,70,216",3038
125,Oil India,"8,27,13,78,481",7.62,"1,06,54,70,000",2.8194,"3,91,13,35,982",6256
126,MakeMyTrip,"8,24,42,22,976",75.59,"5,02,96,000",0,"72,81,60,000",4090
127,Muthoot Finance,"8,10,21,53,948",20.18,"69,77,95,000",0,"1,10,76,37,684",26716
128,Supreme Industries,"8,03,68,96,073",63.27,"19,13,96,000",0.5156,"1,24,16,98,846",4647
129,Schaeffler India,"7,94,77,72,142",50.85,"14,71,86,000",0.6063,"88,16,66,233",2871
130,Oberoi Realty,"7,93,83,33,984",21.81,"32,02,13,000",0.5511,"54,79,95,818",934
131,SBI Card,"7,89,07,94,360",8.3,"38,96,73,000",0.3614,"1,59,68,68,327",3907
132,Ashok Leyland,"7,88,53,96,076",2.69,"85,38,71,000",3.414,"5,49,59,41,808",9603
133,SRF Limited,"7,85,82,92,307",26.51,"24,05,95,000",0.3255,"1,55,68,44,638",7171
134,Container Corporation of India,"7,85,11,01,928",12.89,"20,60,27,000",1.0416,"1,04,30,57,305",1359
135,Steel Authority of India,"7,85,10,46,931",1.9,"48,87,14,000",0.9505,"12,70,46,04,976",62181
136,Jindal Stainless,"7,83,30,71,769",9.51,"50,01,97,000",0.3434,"4,65,11,40,067",1761
137,Suzlon,"7,77,14,37,368",0.57,"8,54,65,600",0,"73,81,52,359",1592
138,Prestige Group,"7,68,97,08,874",19.15,"41,04,47,000",0.0948,"99,82,74,561",9024
139,General Insurance Corporation of India,"7,49,27,21,402",4.27,"95,10,98,000",2.0206,"5,51,64,58,087",494
140,Thermax,"7,49,14,80,055",64.79,"11,51,10,000",0.1859,"1,12,35,22,372",4818
141,Balkrishna Industries,"7,06,85,90,391",36.56,"23,39,27,000",0.5211,"1,12,93,64,290",3472
142,Bank of India,"7,02,42,60,196",1.54,"1,14,44,20,000",1.5868,"3,72,25,91,697",52209
143,PB Fintech,"7,01,39,82,950",15.52,"92,23,900",0,"41,41,52,928",11694
144,Aditya Birla Capital,"6,97,89,19,639",2.68,"55,20,50,000",0,"3,93,60,51,193",30905
145,Alkem Laboratories,"6,89,51,80,636",57.67,"23,76,91,000",0.9209,"1,50,93,46,350",16966
146,Bharat Dynamics,"6,84,36,76,561",18.67,"7,81,23,700",0.331,"27,94,14,944",2662
147,Astral Poly Technik,"6,75,26,29,329",25.14,"9,16,08,200",0.1799,"68,00,09,665",4140
148,Dixon Technologies,"6,74,11,86,948",112.65,"6,85,00,100",0.0324,"2,13,14,35,117",1755
149,Central Bank of India,"6,72,80,79,748",0.78,"49,30,09,000",0,"2,13,12,93,116",30770
150,Phoenix Mills,"6,64,06,78,774",37.16,"24,57,38,000",0.1635,"47,92,52,211",96
151,Abbott India,"6,59,46,95,546",310.35,"19,65,57,000",0.5616,"70,53,44,362",3700
152,SJVN,"6,58,14,66,568",1.67,"18,82,21,000",1.3421,"30,03,78,226",1418
153,Hudco,"6,57,10,02,728",3.28,"33,47,47,000",1.7671,"33,19,54,872",703
154,IDFC FIRST Bank,"6,48,20,97,605",0.92,"47,71,06,000",0,"2,73,98,30,147",27804
155,PI Industries,"6,43,70,21,816",42.43,"23,20,61,000",0.3263,"92,44,75,804",3079
156,Berger Paints,"6,43,22,79,560",5.51,"19,73,43,000",0.5567,"1,35,08,73,996",3931
157,Madras Rubber Factory,"6,37,74,20,708","1,503.70","37,88,98,000",0.1386,"3,03,44,20,264",19050
158,Procter &amp; Gamble India,"6,21,52,42,385",191.47,"12,81,39,000",1.0387,"49,56,89,225",506
159,Persistent Systems,"6,21,44,16,262",40.89,"17,92,58,000",1.22,"1,18,40,87,807",0
160,Patanjali Foods,"6,20,61,86,452",17.14,"15,04,40,000",0.8491,"3,82,48,16,199",3547
161,GMR Group,"6,12,31,97,756",1.01,"20,95,46,000",0,"99,25,75,023",40
162,Tata Communications,"6,07,60,02,252",21.32,"21,82,48,000",1.1848,"2,52,75,66,273",13426
163,United Breweries,"5,90,00,65,022",22.3,"6,65,40,200",0.4055,"97,98,47,019",2837
164,Bank of Maharashtra,"5,86,71,10,428",0.83,"52,57,46,000",2.0946,"1,54,56,12,484",12977
165,UNO Minda,"5,85,24,59,402",10.19,"15,72,04,000",0.1956,"1,69,12,15,601",9881
166,AU Small Finance Bank,"5,81,52,40,234",7.83,"24,11,45,000",0.1544,"83,20,82,225",28677
167,ACC,"5,73,25,51,661",30.53,"35,11,49,000",0.3681,"2,40,69,04,799",5167
168,L&amp;T Technology Services,"5,69,37,30,136",53.84,"22,36,09,000",1.0432,"1,16,31,19,201",19773
169,Nykaa,"5,62,26,61,112",1.97,"1,82,93,900",0,"76,96,83,249",2764
170,Adani Wilmar,"5,54,29,01,880",4.26,"12,17,08,000",0,"6,18,14,32,568",2600
171,Honeywell Automation India,"5,45,07,17,795",616.49,"8,17,53,700",0.1826,"48,92,65,259",2950
172,Voltas,"5,39,35,65,988",16.3,"6,54,30,700",0.3082,"1,49,61,24,958",1689
173,Petronet LNG,"5,34,79,86,591",3.56,"54,82,60,000",3.419,"6,62,52,09,098",519
174,Tata Elxsi,"5,18,45,48,459",83.25,"12,88,75,000",0.8469,"42,82,72,325",11639
175,Mphasis,"5,17,56,22,945",27.38,"26,87,95,000",2.1904,"1,60,10,69,627",26977
