Rank by Marketcap,Name,  Marketcap($)  ,  Price ($)  ,  Earnings($)  ,Dividend yield(%),  Revenue($)  ,Employees
542,Bliss GVS Pharma,"12,92,03,866",1.23,"1,49,28,000",0.4897,"9,28,29,732",763
543,Indorama Synthetics,"12,59,94,105",0.48,"-2,45,28,300",0,"46,68,26,311",1501
544,Orient Paper Mills,"11,81,56,684",0.56,"1,54,05,000",2.1688,"10,14,30,918",1394
545,Kellton Tech Solutions,"11,20,42,257",1.16,"-1,54,62,700",0,"11,83,61,168",1269
546,Bodal Chemicals,"10,69,92,746",0.85,"13,77,900",0.1412,"16,64,74,571",2025
547,Asian Granito India,"8,87,68,486",0.7,"-59,60,040",0,"18,84,71,972",1440
548,Spencer's Retail,"8,77,29,737",0.97,"-1,42,92,900",0,"28,27,54,449",4505
549,Nectar Lifesciences,"8,56,28,637",0.38,"1,26,98,600",0,"20,30,22,138",1669
550,Yatra,"8,21,55,136",1.28,"-33,40,920",0,"5,27,89,541",1095
551,Hindustan Media Ventures,"8,21,38,450",1.12,"-8,95,972",0,"8,48,85,627",1146
552,Ebixcash India,"8,15,07,586",7.31,"83,71,470",0,"17,45,05,904",474
553,Rane Brake Lining,"8,08,84,932",10.46,"65,54,580",2.8968,"7,96,59,571",597
554,Balaji Telefilms,"7,88,62,693",0.78,"74,28,770",0,"7,64,63,170",87
555,Apex Frozen Foods,"7,75,67,732",2.48,"20,66,260",1.2062,"10,09,00,071",2713
556,3i Infotech,"7,05,56,466",0.42,"-2,51,02,300",0,"9,76,93,337",5000
557,Mirza International,"7,03,31,177",0.51,"-1,51,23,100",0,"-5,88,41,000",2409
558,Radio City,"6,56,85,109",0.19,"12,64,600",0,"2,60,97,343",415
559,Reliance Communications,"5,53,00,861",0.02,"-10,72,170",0,"4,86,77,264",464
560,N.B.I. Industrial Finance,"5,29,45,925",21.55,"12,06,960",0.0225,"14,24,079",5
561,Hinduja Ventures,"4,81,38,727",1.43,"-1,09,51,400",0,"6,01,09,732",837
562,Azure Power,"4,81,24,800",0.75,"-1,03,32,800",0,"24,53,71,464",471
563,Milkfood Limited,"3,03,47,301",6.21,"23,41,880",0.4721,"5,42,43,607",0
564,Zee Learn,"2,92,31,557",0.09,"-3,67,89,700",0,"4,25,16,016",193
565,MEP Infrastructure,"1,72,63,694",0.09,"-3,63,82,100",0,"59,31,301",186
566,Future Retail,"1,36,52,178",0.03,"-39,29,96,000",0,"1,14,12,90,288",21839
567,Modern Dairies Limited,"1,32,87,716",0.57,"40,63,880",0,"3,55,18,993",0
568,Srei Infrastructure Finance,"1,26,75,992",0.03,"-80,48,55,000",0,"10,53,05,267",20
569,Jump Networks,"1,16,69,324",0.12,"-15,09,540",0,"1,94,91,459",3
570,Future Supply Chain Solutions,"22,88,481",0.05,"-8,09,01,300",0,"7,26,54,628",0
